vuln_id,asset_id,vulnerability_name,cve,severity,cvss,exploit_available,patch_available,days_open,asset_exposure,auth_required,status,affected_component,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,data_classification,edr_installed,last_seen_days,location,vendor_product,business_owner,business_impact,customer_facing,compliance_scope,revenue_impact,rto_hours,depends_on,risk_appetite,matched_cve_or_control,threat_actor,campaign_name,ransomware_association,cveID,knownRansomwareCampaignUse
V-2014,A-1004,Container Running as Root,CONTAINER-SYN-001,High,7.9,No,Yes,60,Internal,Yes,Open,Container Config,payment-api-prod-02,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,UAE,Node.js 20 / Ubuntu 22.04,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,,None observed,,No,,Unknown
V-2015,A-1005,Fortinet SSL-VPN Heap Buffer Overflow RCE,CVE-2024-21762,Critical,9.8,Yes,Yes,27,Internet,No,Open,VPN Firmware,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Fortinet FortiGate 7.4.1,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,CVE-2024-21762,CrimsonJackal,Gateway Breaker,Yes,CVE-2024-21762,Known
V-2016,A-1005,Fortinet FortiOS Authentication Bypass,CVE-2024-55591,Critical,9.8,Yes,Yes,14,Internet,No,Open,VPN Auth Module,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Fortinet FortiGate 7.4.1,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,CVE-2024-55591,CrimsonJackal,Gateway Breaker,Yes,CVE-2024-55591,Known
V-2017,A-1005,Weak Admin Password Policy,CVE-SYN-2024-0220,High,7.8,No,Yes,60,Internet,Yes,Open,Authentication Policy,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Fortinet FortiGate 7.4.1,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,,None observed,,No,,Unknown
V-2018,A-1005,VPN Management Plane Internet-Exposed,CTRL-SYN-002,High,8.3,No,Yes,120,Internet,No,Open,Network Configuration,vpn-edge-01,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Fortinet FortiGate 7.4.1,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,,None observed,,No,,Unknown
V-2019,A-1006,Fortinet SSL-VPN Heap Buffer Overflow RCE,CVE-2024-21762,Critical,9.8,Yes,Yes,27,Internet,No,Open,VPN Firmware,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Fortinet FortiGate 7.4.1,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,CVE-2024-21762,CrimsonJackal,Gateway Breaker,Yes,CVE-2024-21762,Known
V-2020,A-1006,Fortinet FortiOS Authentication Bypass,CVE-2024-55591,Critical,9.8,Yes,Yes,14,Internet,No,Open,VPN Auth Module,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Fortinet FortiGate 7.4.1,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,CVE-2024-55591,CrimsonJackal,Gateway Breaker,Yes,CVE-2024-55591,Known
V-2021,A-1006,Outdated Firmware Version,CVE-SYN-2024-0188,Medium,5.8,No,Yes,92,Internet,No,Open,VPN Firmware,vpn-edge-02,VPN Gateway,Production,Network Team,Remote Access,Yes,Critical,Internal Access,No,2,UAE,Fortinet FortiGate 7.4.1,CIO,Remote employees and administrators lose secure network access,No,ISO 27001,High,2,,Low,,None observed,,No,,Unknown
V-2022,A-1007,Python Dependency with Known RCE,CVE-SYN-2025-0554,High,8.4,No,Yes,30,Internal,Yes,Open,Python Dependencies,fraud-detection-api,API Server,Production,Security Engineering,Fraud Detection,No,Critical,Transaction Data,Yes,1,UAE,Python 3.11 / FastAPI / Ubuntu 22.04,CISO,Fraudulent transactions may process undetected; significant financial and reputational loss,No,PCI DSS,Critical,1,,Very Low,,None observed,,No,,Unknown
V-2023,A-1007,Insufficient Input Validation on Scoring API,CVE-SYN-2025-0601,Medium,6.3,No,Yes,45,Internal,Yes,Open,Scoring Engine,fraud-detection-api,API Server,Production,Security Engineering,Fraud Detection,No,Critical,Transaction Data,Yes,1,UAE,Python 3.11 / FastAPI / Ubuntu 22.04,CISO,Fraudulent transactions may process undetected; significant financial and reputational loss,No,PCI DSS,Critical,1,,Very Low,,None observed,,No,,Unknown
V-2024,A-1008,Kong Gateway Admin API Exposed,CVE-SYN-2026-0011,Critical,9.3,Yes,Yes,5,Internet,No,Open,API Admin Interface,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,UAE,Kong Gateway 3.4 / Ubuntu 22.04,VP Partnerships,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,CVE-SYN-2026-0011,WinterViper,Kong Gateway Exploit,Yes,,Unknown
V-2025,A-1008,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,41,Internet,No,Open,OpenSSH,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,UAE,Kong Gateway 3.4 / Ubuntu 22.04,VP Partnerships,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,,None observed,,No,,Unknown
V-2026,A-1008,Insecure Partner Authentication Token,CVE-SYN-2025-0702,High,7.7,No,Yes,33,Internet,Yes,Open,Auth Token Handler,partner-api-gateway-prod,API Server,Production,Partnerships Team,Partner API Gateway,Yes,Critical,Payment Card Data,Yes,1,UAE,Kong Gateway 3.4 / Ubuntu 22.04,VP Partnerships,Bank and fintech partner integrations fail; SLA breach penalties apply,Yes,"PCI DSS, ISO 27001",High,2,Payment Processing,Low,,None observed,,No,,Unknown
V-2027,A-1009,PostgreSQL Privilege Escalation,CVE-2024-10978,Critical,9.2,Yes,Yes,40,Internal,Yes,Open,Database Engine,finance-db-prod-01,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,UAE,PostgreSQL 14 / Ubuntu 20.04,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,CVE-2024-10978,BlackCinder,Database Grab,Yes,,Unknown
V-2028,A-1009,Unencrypted Database Backup Files,CVE-SYN-2024-0420,High,8.0,No,Yes,55,Internal,Yes,Open,Backup Config,finance-db-prod-01,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,UAE,PostgreSQL 14 / Ubuntu 20.04,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,,None observed,,No,,Unknown
V-2029,A-1009,Excessive DB User Privileges,CTRL-SYN-003,High,7.6,No,Yes,90,Internal,Yes,Open,Database Permissions,finance-db-prod-01,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,UAE,PostgreSQL 14 / Ubuntu 20.04,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,,None observed,,No,,Unknown
V-2030,A-1010,PostgreSQL Privilege Escalation,CVE-2024-10978,Critical,9.2,Yes,Yes,40,Internal,Yes,Open,Database Engine,finance-db-prod-02,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,UAE,PostgreSQL 14 / Ubuntu 20.04,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,CVE-2024-10978,BlackCinder,Database Grab,Yes,,Unknown
V-2031,A-1010,Missing Encryption at Rest,CTRL-SYN-004,High,7.5,No,Yes,80,Internal,Yes,Open,Storage Encryption,finance-db-prod-02,Database,Production,Finance Team,Financial Reporting,No,Critical,Financial Data,Yes,1,UAE,PostgreSQL 14 / Ubuntu 20.04,CFO,Monthly and quarterly close delayed; board and regulator reporting at risk,No,"SOC 2, IFRS",High,4,,Very Low,,None observed,,No,,Unknown
V-2032,A-1011,SQL Injection in CRM Search Module,CVE-SYN-2025-0441,High,8.7,Yes,Yes,32,Internet,No,Open,CRM Module,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,UAE,Java 11 / Tomcat 9 / Ubuntu 20.04,Head of Sales,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,,None observed,,No,,Unknown
V-2033,A-1011,Apache Tomcat Partial PUT RCE,CVE-2025-24813,Critical,9.8,Yes,Yes,21,Internet,No,Open,Tomcat Server,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,UAE,Java 11 / Tomcat 9 / Ubuntu 20.04,Head of Sales,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,,None observed,,No,CVE-2025-24813,Unknown
V-2034,A-1011,Missing Security Headers,CVE-SYN-2024-0901,Low,3.7,No,Yes,90,Internet,No,Open,HTTP Headers,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,UAE,Java 11 / Tomcat 9 / Ubuntu 20.04,Head of Sales,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,,None observed,,No,,Unknown
V-2035,A-1011,Session Timeout Too Long,CVE-SYN-2024-0311,Medium,5.2,No,Yes,110,Internet,Yes,Open,Session Management,crm-app-prod,Application Server,Production,Sales Ops,CRM Platform,Yes,High,Customer PII,Yes,2,UAE,Java 11 / Tomcat 9 / Ubuntu 20.04,Head of Sales,Sales pipeline and customer support workflows disrupted,Yes,GDPR,Medium,8,Customer Login,Medium,,None observed,,No,,Unknown
V-2036,A-1012,Project Management Platform RCE,CVE-SYN-2026-0004,Critical,9.7,Yes,Yes,16,Internet,No,Open,Application Server,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,UAE,Atlassian Jira 9.4,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,CVE-SYN-2026-0004,RedMantis,Collaboration Breach,Yes,,Unknown
V-2037,A-1012,Atlassian Jira Server-Side Template Injection,CVE-2023-22515,Critical,10.0,Yes,Yes,180,Internet,No,Open,Template Engine,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,UAE,Atlassian Jira 9.4,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,CVE-2023-22515,RedMantis,Collaboration Breach,Yes,CVE-2023-22515,Known
V-2038,A-1012,Excessive User Permissions on Projects,CVE-SYN-2024-0822,High,7.6,No,Yes,95,Internet,Yes,Open,Access Control,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,UAE,Atlassian Jira 9.4,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,,None observed,,No,,Unknown
V-2039,A-1012,Outdated Jira Version,CVE-SYN-2024-0155,Medium,6.5,No,Yes,130,Internet,No,Open,Application Version,jira-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,UAE,Atlassian Jira 9.4,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,,None observed,,No,,Unknown
V-2040,A-1013,Confluence RCE via OGNL Injection,CVE-2023-22527,Critical,10.0,Yes,Yes,200,Internet,No,Open,OGNL Template Engine,confluence-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,UAE,Atlassian Confluence 8.5,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,CVE-2023-22527,RedMantis,Collaboration Breach,Yes,CVE-2023-22527,Known
V-2041,A-1013,Confluence Broken Access Control,CVE-2023-22518,Critical,10.0,Yes,Yes,200,Internet,No,Open,Access Control,confluence-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,UAE,Atlassian Confluence 8.5,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,,None observed,,No,CVE-2023-22518,Known
V-2042,A-1013,Insecure Direct Object Reference in Spaces,CVE-SYN-2024-0634,High,7.5,No,Yes,88,Internet,No,Open,Space Management,confluence-prod,Application Server,Production,Engineering,Software Delivery,Yes,High,Source Code,Yes,1,UAE,Atlassian Confluence 8.5,VP Engineering,Product releases blocked; CI/CD pipelines offline,No,SOC 2,Medium,24,,Medium,,None observed,,No,,Unknown
V-2043,A-1014,JetBrains TeamCity Authentication Bypass,CVE-2024-27198,Critical,9.8,Yes,Yes,155,Internet,No,Open,Authentication Handler,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,UAE,JetBrains TeamCity 2023.11,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,CVE-2024-27198,SilentForge,Build Chain Theft,No,CVE-2024-27198,Known
V-2044,A-1014,JetBrains TeamCity Path Traversal,CVE-2024-27199,High,7.3,Yes,Yes,155,Internet,No,Open,File Handler,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,UAE,JetBrains TeamCity 2023.11,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,,None observed,,No,CVE-2024-27199,Known
V-2045,A-1014,CI/CD Secrets Exposed in Build Logs,CICD-SYN-001,Critical,9.4,Yes,Yes,14,Internet,Yes,Open,Build Pipeline,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,UAE,JetBrains TeamCity 2023.11,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,CICD-SYN-001,SilentForge,Build Chain Theft,No,,Unknown
V-2046,A-1014,Unauthenticated Build Trigger,CVE-SYN-2025-0887,High,8.2,No,Yes,60,Internet,No,Open,Build API,teamcity-prod,Build Server,Production,DevOps,DevOps Platform,Yes,High,Source Code,No,3,UAE,JetBrains TeamCity 2023.11,VP Engineering,"Build, deploy and monitoring toolchain offline; operational visibility lost",No,SOC 2,Medium,12,Software Delivery,Medium,,None observed,,No,,Unknown
V-2047,A-1015,PHP CGI Argument Injection,CVE-2024-4577,Critical,9.8,Yes,Yes,30,Internet,No,Open,PHP CGI,hr-portal-prod,Web Application,Production,HR Team,Employee Services,Yes,High,Employee PII,Yes,2,UAE,PHP 8.1 / Apache 2.4 / Ubuntu 22.04,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,CVE-2024-4577,AmberFox,HR Data Theft,No,CVE-2024-4577,Known
V-2047,A-1015,PHP CGI Argument Injection,CVE-2024-4577,Critical,9.8,Yes,Yes,30,Internet,No,Open,PHP CGI,hr-portal-prod,Web Application,Production,HR Team,Employee Services,Yes,High,Employee PII,Yes,2,UAE,PHP 8.1 / Apache 2.4 / Ubuntu 22.04,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,CVE-2024-4577,GrayLotus,CMS Spray,No,CVE-2024-4577,Known
V-2048,A-1015,File Upload to RCE Vulnerability,CVE-SYN-2025-0333,High,8.4,Yes,Yes,25,Internet,No,Open,HR Portal Upload,hr-portal-prod,Web Application,Production,HR Team,Employee Services,Yes,High,Employee PII,Yes,2,UAE,PHP 8.1 / Apache 2.4 / Ubuntu 22.04,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,,None observed,,No,,Unknown
V-2049,A-1015,Session Fixation Attack,CVE-SYN-2024-0311,Medium,5.2,No,Yes,110,Internet,Yes,Open,Session Handler,hr-portal-prod,Web Application,Production,HR Team,Employee Services,Yes,High,Employee PII,Yes,2,UAE,PHP 8.1 / Apache 2.4 / Ubuntu 22.04,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,,None observed,,No,,Unknown
V-2050,A-1016,Cross-Site Scripting in Ticket Comments,CVE-SYN-2025-0201,Medium,6.3,No,Yes,44,Internet,No,Open,Comment Module,customer-support-portal,Web Application,Production,Customer Experience,Customer Support Portal,Yes,High,Customer PII,Yes,1,UAE,Django 4.2 / Ubuntu 22.04,Head of Customer Experience,Support agents cannot access tickets; customer escalations unmanaged,Yes,GDPR,Medium,4,Customer Login,Medium,,None observed,,No,,Unknown
V-2051,A-1016,IDOR in Ticket View API,CVE-SYN-2025-0202,High,7.8,Yes,Yes,22,Internet,Yes,Open,Ticket API,customer-support-portal,Web Application,Production,Customer Experience,Customer Support Portal,Yes,High,Customer PII,Yes,1,UAE,Django 4.2 / Ubuntu 22.04,Head of Customer Experience,Support agents cannot access tickets; customer escalations unmanaged,Yes,GDPR,Medium,4,Customer Login,Medium,,None observed,,No,,Unknown
V-2052,A-1016,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,39,Internet,No,Open,OpenSSH,customer-support-portal,Web Application,Production,Customer Experience,Customer Support Portal,Yes,High,Customer PII,Yes,1,UAE,Django 4.2 / Ubuntu 22.04,Head of Customer Experience,Support agents cannot access tickets; customer escalations unmanaged,Yes,GDPR,Medium,4,Customer Login,Medium,,None observed,,No,,Unknown
V-2053,A-1017,SolarWinds Web Help Desk Deserialization RCE,CVE-2024-28986,Critical,9.8,Yes,Yes,60,Internal,No,Open,Java Deserialization,helpdesk-prod,Application Server,Production,IT Operations,Employee Services,No,High,Internal Confidential,Yes,5,UAE,SolarWinds Web Help Desk 12.7,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,CVE-2024-28986,PhantomGrid,SolarWinds RCE,Yes,CVE-2024-28986,Unknown
V-2054,A-1017,SolarWinds WHD Hardcoded Credentials,CVE-2024-28987,Critical,9.1,Yes,Yes,60,Internal,No,Open,Authentication,helpdesk-prod,Application Server,Production,IT Operations,Employee Services,No,High,Internal Confidential,Yes,5,UAE,SolarWinds Web Help Desk 12.7,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,CVE-2024-28987,PhantomGrid,SolarWinds RCE,Yes,CVE-2024-28987,Unknown
V-2055,A-1017,Missing Patch for Critical Vendor Advisory,CVE-SYN-2024-0900,High,8.0,No,Yes,90,Internal,Yes,Open,Application Core,helpdesk-prod,Application Server,Production,IT Operations,Employee Services,No,High,Internal Confidential,Yes,5,UAE,SolarWinds Web Help Desk 12.7,Head of HR,HR workflows and payroll processing impacted; employee data at risk,No,GDPR,Medium,12,,Low,,None observed,,No,,Unknown
V-2056,A-1018,Microsoft Exchange NTLM Relay Privilege Escalation,CVE-2024-21410,Critical,9.8,Yes,Yes,90,Internet,No,Open,NTLM Auth,email-server-prod,Mail Server,Production,IT Operations,Internal Communications,Yes,High,Internal Confidential,Yes,1,UAE,Microsoft Exchange 2019 CU13,COO,Internal email and chat offline; operational coordination degraded,No,ISO 27001,Low,24,,Medium,CVE-2024-21410,Unknown,Exchange NTLMv2 Relay,No,CVE-2024-21410,Unknown
V-2057,A-1018,Exchange Server-Side Request Forgery,CVE-SYN-2025-0501,High,8.5,No,Yes,50,Internet,No,Open,Request Processor,email-server-prod,Mail Server,Production,IT Operations,Internal Communications,Yes,High,Internal Confidential,Yes,1,UAE,Microsoft Exchange 2019 CU13,COO,Internal email and chat offline; operational coordination degraded,No,ISO 27001,Low,24,,Medium,,None observed,,No,,Unknown
V-2058,A-1019,WordPress Plugin Remote Code Execution,CVE-2024-4577,Critical,9.8,Yes,Yes,35,Internet,No,Open,PHP CGI / Plugin,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.4 / PHP 8.1 / nginx,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-2024-4577,AmberFox,HR Data Theft,No,CVE-2024-4577,Known
V-2058,A-1019,WordPress Plugin Remote Code Execution,CVE-2024-4577,Critical,9.8,Yes,Yes,35,Internet,No,Open,PHP CGI / Plugin,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.4 / PHP 8.1 / nginx,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-2024-4577,GrayLotus,CMS Spray,No,CVE-2024-4577,Known
V-2059,A-1019,Outdated WordPress Core Version,CVE-SYN-2025-0123,High,7.9,Yes,Yes,35,Internet,No,Open,CMS Core,corporate-site-prod,Web Server,Production,Marketing,Corporate Website,Yes,Medium,Public Data,Yes,1,UAE,WordPress 6.4 / PHP 8.1 / nginx,Head of Marketing,Brand presence offline; press and investor communications disrupted,Yes,,Low,24,,High,CVE-SYN-2025-0123,GrayLotus,CMS Spray,No,,Unknown
